pcd,lad23cd,lad23nm
"NE1 1AA","E08000021","Newcastle upon Tyne"
"NE1 1AB","E08000021","Newcastle upon Tyne"
"NE1 1AD","E08000021","Newcastle upon Tyne"
"NE1 1AE","E08000021","Newcastle upon Tyne"
"NE1 1AH","E08000021","Newcastle upon Tyne"
"NE1 1AN","E08000021","Newcastle upon Tyne"
"NE1 1AP","E08000021","Newcastle upon Tyne"
"NE1 1BA","E08000021","Newcastle upon Tyne"
"NE1 1BB","E08000021","Newcastle upon Tyne"
"NE1 1DA","E08000021","Newcastle upon Tyne"
"NE1 1DB","E08000021","Newcastle upon Tyne"
"NE1 1DD","E08000021","Newcastle upon Tyne"
"NE1 1DE","E08000021","Newcastle upon Tyne"
"NE1 1DF","E08000021","Newcastle upon Tyne"
"NE1 1DG","E08000021","Newcastle upon Tyne"
"NE1 1DH","E08000021","Newcastle upon Tyne"
"NE1 1DL","E08000021","Newcastle upon Tyne"
"NE1 1DN","E08000021","Newcastle upon Tyne"
"NE1 1DQ","E08000021","Newcastle upon Tyne"
"NE1 1DU","E08000021","Newcastle upon Tyne"
"NE1 1DW","E08000021","Newcastle upon Tyne"
"NE1 1DX","E08000021","Newcastle upon Tyne"
"NE1 1ED","E08000021","Newcastle upon Tyne"
"NE1 1EE","E08000021","Newcastle upon Tyne"
"NE1 1EF","E08000021","Newcastle upon Tyne"
"NE1 1EG","E08000021","Newcastle upon Tyne"
"NE1 1EH","E08000021","Newcastle upon Tyne"
"NE1 1EL","E08000021","Newcastle upon Tyne"
"NE1 1EN","E08000021","Newcastle upon Tyne"
"NE1 1EP","E08000021","Newcastle upon Tyne"
"NE1 1EQ","E08000021","Newcastle upon Tyne"
"NE1 1ER","E08000021","Newcastle upon Tyne"
"NE1 1ES","E08000021","Newcastle upon Tyne"
"NE1 1ET","E08000021","Newcastle upon Tyne"
"NE1 1EU","E08000021","Newcastle upon Tyne"
"NE1 1EW","E08000021","Newcastle upon Tyne"
"NE1 1EX","E08000021","Newcastle upon Tyne"
"NE1 1EY","E08000021","Newcastle upon Tyne"
"NE1 1EZ","E08000021","Newcastle upon Tyne"
"NE1 1HA","E08000021","Newcastle upon Tyne"
"NE1 1HB","E08000021","Newcastle upon Tyne"
"NE1 1HE","E08000021","Newcastle upon Tyne"
"NE1 1HJ","E08000021","Newcastle upon Tyne"
"NE1 1HL","E08000021","Newcastle upon Tyne"
"NE1 1HP","E08000021","Newcastle upon Tyne"
"NE1 1HS","E08000021","Newcastle upon Tyne"
"NE1 1HT","E08000021","Newcastle upon Tyne"
"NE1 1HX","E08000021","Newcastle upon Tyne"
"NE1 1JE","E08000021","Newcastle upon Tyne"
"NE1 1JF","E08000021","Newcastle upon Tyne"
"NE1 1JG","E08000021","Newcastle upon Tyne"
"NE1 1JH","E08000021","Newcastle upon Tyne"
"NE1 1JJ","E08000021","Newcastle upon Tyne"
"NE1 1JL","E08000021","Newcastle upon Tyne"
"NE1 1JN","E08000021","Newcastle upon Tyne"
"NE1 1JP","E08000021","Newcastle upon Tyne"
"NE1 1JQ","E08000021","Newcastle upon Tyne"
"NE1 1JS","E08000021","Newcastle upon Tyne"
"NE1 1JT","E08000021","Newcastle upon Tyne"
"NE1 1JW","E08000021","Newcastle upon Tyne"
"NE1 1JX","E08000021","Newcastle upon Tyne"
"NE1 1JY","E08000021","Newcastle upon Tyne"
"NE1 1JZ","E08000021","Newcastle upon Tyne"
"NE1 1LA","E08000021","Newcastle upon Tyne"
"NE1 1LB","E08000021","Newcastle upon Tyne"
"NE1 1LD","E08000021","Newcastle upon Tyne"
"NE1 1LE","E08000021","Newcastle upon Tyne"
"NE1 1LF","E08000021","Newcastle upon Tyne"
"NE1 1LH","E08000021","Newcastle upon Tyne"
"NE1 1LJ","E08000021","Newcastle upon Tyne"
"NE1 1LL","E08000021","Newcastle upon Tyne"
"NE1 1LR","E08000021","Newcastle upon Tyne"
"NE1 1LT","E08000021","Newcastle upon Tyne"
"NE1 1LU","E08000021","Newcastle upon Tyne"
"NE1 1LX","E08000021","Newcastle upon Tyne"
"NE1 1LY","E08000021","Newcastle upon Tyne"
"NE1 1LZ","E08000021","Newcastle upon Tyne"
"NE1 1NA","E08000021","Newcastle upon Tyne"
"NE1 1NB","E08000021","Newcastle upon Tyne"
"NE1 1ND","E08000021","Newcastle upon Tyne"
"NE1 1NH","E08000021","Newcastle upon Tyne"
"NE1 1NN","E08000021","Newcastle upon Tyne"
"NE1 1NP","E08000021","Newcastle upon Tyne"
"NE1 1NR","E08000021","Newcastle upon Tyne"
"NE1 1NS","E08000021","Newcastle upon Tyne"
"NE1 1NT","E08000021","Newcastle upon Tyne"
"NE1 1NW","E08000021","Newcastle upon Tyne"
"NE1 1PB","E08000021","Newcastle upon Tyne"
"NE1 1PD","E08000021","Newcastle upon Tyne"
"NE1 1PE","E08000021","Newcastle upon Tyne"
"NE1 1PF","E08000021","Newcastle upon Tyne"
"NE1 1PG","E08000021","Newcastle upon Tyne"
"NE1 1PJ","E08000021","Newcastle upon Tyne"
"NE1 1PL","E08000021","Newcastle upon Tyne"
"NE1 1PN","E08000021","Newcastle upon Tyne"
"NE1 1PP","E08000021","Newcastle upon Tyne"
"NE1 1PQ","E08000021","Newcastle upon Tyne"
"NE1 1PR","E08000021","Newcastle upon Tyne"
"NE1 1PT","E08000021","Newcastle upon Tyne"
"NE1 1QJ","E08000021","Newcastle upon Tyne"
"NE1 1QR","E08000021","Newcastle upon Tyne"
"NE1 1QS","E08000021","Newcastle upon Tyne"
"NE1 1QX","E08000021","Newcastle upon Tyne"
"NE1 1RA","E08000021","Newcastle upon Tyne"
"NE1 1RD","E08000021","Newcastle upon Tyne"
"NE1 1RE","E08000021","Newcastle upon Tyne"
"NE1 1RF","E08000021","Newcastle upon Tyne"
"NE1 1RG","E08000021","Newcastle upon Tyne"
"NE1 1RH","E08000021","Newcastle upon Tyne"
"NE1 1RJ","E08000021","Newcastle upon Tyne"
"NE1 1RN","E08000021","Newcastle upon Tyne"
"NE1 1RP","E08000021","Newcastle upon Tyne"
"NE1 1RQ","E08000021","Newcastle upon Tyne"
"NE1 1RR","E08000021","Newcastle upon Tyne"
"NE1 1RT","E08000021","Newcastle upon Tyne"
"NE1 1RU","E08000021","Newcastle upon Tyne"
"NE1 1RW","E08000021","Newcastle upon Tyne"
"NE1 1RX","E08000021","Newcastle upon Tyne"
"NE1 1RY","E08000021","Newcastle upon Tyne"
"NE1 1RZ","E08000021","Newcastle upon Tyne"
"NE1 1SA","E08000021","Newcastle upon Tyne"
"NE1 1SB","E08000021","Newcastle upon Tyne"
"NE1 1SE","E08000021","Newcastle upon Tyne"
"NE1 1SF","E08000021","Newcastle upon Tyne"
"NE1 1SG","E08000021","Newcastle upon Tyne"
"NE1 1SH","E08000021","Newcastle upon Tyne"
"NE1 1SJ","E08000021","Newcastle upon Tyne"
"NE1 1SL","E08000021","Newcastle upon Tyne"
"NE1 1SN","E08000021","Newcastle upon Tyne"
"NE1 1SP","E08000021","Newcastle upon Tyne"
"NE1 1SQ","E08000021","Newcastle upon Tyne"
"NE1 1SR","E08000021","Newcastle upon Tyne"
"NE1 1SS","E08000021","Newcastle upon Tyne"
"NE1 1SW","E08000021","Newcastle upon Tyne"
"NE1 1SY","E08000021","Newcastle upon Tyne"
"NE1 1TB","E08000021","Newcastle upon Tyne"
"NE1 1TD","E08000021","Newcastle upon Tyne"
"NE1 1TH","E08000021","Newcastle upon Tyne"
"NE1 1TJ","E08000021","Newcastle upon Tyne"
"NE1 1TL","E08000021","Newcastle upon Tyne"
"NE1 1TN","E08000021","Newcastle upon Tyne"
"NE1 1TP","E08000021","Newcastle upon Tyne"
"NE1 1TR","E08000021","Newcastle upon Tyne"
"NE1 1TS","E08000021","Newcastle upon Tyne"
"NE1 1TT","E08000021","Newcastle upon Tyne"
"NE1 1TU","E08000021","Newcastle upon Tyne"
"NE1 1TW","E08000021","Newcastle upon Tyne"
"NE1 1UA","E08000021","Newcastle upon Tyne"
"NE1 1UD","E08000021","Newcastle upon Tyne"
"NE1 1UE","E08000021","Newcastle upon Tyne"
"NE1 1UF","E08000021","Newcastle upon Tyne"
"NE1 1UG","E08000021","Newcastle upon Tyne"
"NE1 1UH","E08000021","Newcastle upon Tyne"
"NE1 1UN","E08000021","Newcastle upon Tyne"
"NE1 1UP","E08000021","Newcastle upon Tyne"
"NE1 1UQ","E08000021","Newcastle upon Tyne"
"NE1 1UR","E08000021","Newcastle upon Tyne"
"NE1 1US","E08000021","Newcastle upon Tyne"
"NE1 1UT","E08000021","Newcastle upon Tyne"
"NE1 1UU","E08000021","Newcastle upon Tyne"
"NE1 1UW","E08000021","Newcastle upon Tyne"
"NE1 1UX","E08000021","Newcastle upon Tyne"
"NE1 1UY","E08000021","Newcastle upon Tyne"
"NE1 1UZ","E08000021","Newcastle upon Tyne"
"NE1 1XB","E08000021","Newcastle upon Tyne"
"NE1 1XD","E08000021","Newcastle upon Tyne"
