organisation,LAD24CD,LAD24NM,IPSO,NPO,Project Grant,latitude,longitude
4M Puppets,E08000021,Newcastle upon Tyne,,,True,,
Adam Shield,E08000021,Newcastle upon Tyne,,,True,,
Adinda van 't Klooster,E08000021,Newcastle upon Tyne,,,True,,
Ali Pritchard,E08000021,Newcastle upon Tyne,,,True,,
Alicia Meehan,E08000021,Newcastle upon Tyne,,,True,,
Alison Carr,E08000021,Newcastle upon Tyne,,,True,,
Allan Hughes,E08000021,Newcastle upon Tyne,,,True,,
Alphabetti Theatre,E08000021,Newcastle upon Tyne,,,True,,
Alys North,E08000021,Newcastle upon Tyne,,,True,,
Amber Film & Photography Collective,E08000021,Newcastle upon Tyne,,,True,,
Andras Nagy-Sandor,E08000021,Newcastle upon Tyne,,,True,,
Andrew Maughan,E08000021,Newcastle upon Tyne,,,True,,
Andrew Wilson,E08000021,Newcastle upon Tyne,,,True,,
Anton Hecht,E08000021,Newcastle upon Tyne,,,True,,
BRASH Theatre Company Ltd,E08000021,Newcastle upon Tyne,,,True,,
Ballet Lorent Limited,E08000021,Newcastle upon Tyne,,True,True,54.976855,-1.6858953
Beacon Films CIC,E08000021,Newcastle upon Tyne,,,True,,
Benjamin Storey,E08000021,Newcastle upon Tyne,,,True,,
Beth Veitch,E08000021,Newcastle upon Tyne,,,True,,
Bethan Kitchen,E08000021,Newcastle upon Tyne,,,True,,
Bev Robinson,E08000021,Newcastle upon Tyne,,,True,,
Blank Studios LLP,E08000021,Newcastle upon Tyne,,,True,,
Brave Exhibitions CIC,E08000021,Newcastle upon Tyne,,,True,,
CIRCA Projects,E08000021,Newcastle upon Tyne,,,True,,
Caitlin Evans,E08000021,Newcastle upon Tyne,,,True,,
Cameron John Sharp,E08000021,Newcastle upon Tyne,,,True,,
Cap-a-Pie,E08000021,Newcastle upon Tyne,,,True,,
Carole Wears,E08000021,Newcastle upon Tyne,,,True,,
Chalk,E08000021,Newcastle upon Tyne,,,True,,
Charlie Bramley,E08000021,Newcastle upon Tyne,,,True,,
Chloe Stott,E08000021,Newcastle upon Tyne,,,True,,
Cobalt Studios Ltd,E08000021,Newcastle upon Tyne,,,True,,
Company of Others,E08000021,Newcastle upon Tyne,,True,True,54.963466,-1.5560566
Conrad Williams Bird,E08000021,Newcastle upon Tyne,,,True,,
Creative Spaces North East C.I.C.,E08000021,Newcastle upon Tyne,,,True,,
Curious Arts Ltd,E08000021,Newcastle upon Tyne,,,True,,
Curious Monkey Ltd,E08000021,Newcastle upon Tyne,,,True,,
D6 Culture Ltd,E08000021,Newcastle upon Tyne,,,True,,
DAVE GRAY,E08000021,Newcastle upon Tyne,,,True,,
Dance City,E08000021,Newcastle upon Tyne,,True,,54.970106,-1.6224653
Danielle Stone,E08000021,Newcastle upon Tyne,,,True,,
David Reynolds,E08000021,Newcastle upon Tyne,,,True,,
Debbi Purtill,E08000021,Newcastle upon Tyne,,,True,,
Department of Classics Newcastle University,E08000021,Newcastle upon Tyne,,,True,,
Dora Frankel,E08000021,Newcastle upon Tyne,,,True,,
Eleanor Wright,E08000021,Newcastle upon Tyne,,,True,,
Eliot Smith Company,E08000021,Newcastle upon Tyne,,,True,,
Elizabeth Jane Klotz,E08000021,Newcastle upon Tyne,,,True,,
Emma Roxburgh,E08000021,Newcastle upon Tyne,,,True,,
Equal Arts,E08000021,Newcastle upon Tyne,,,True,,
Erin Connor,E08000021,Newcastle upon Tyne,,,True,,
Faye MacCalman,E08000021,Newcastle upon Tyne,,,True,,
Fertile Ground Dance Ltd,E08000021,Newcastle upon Tyne,,,True,,
Frank & Bird Ltd,E08000021,Newcastle upon Tyne,,,True,,
Friends of Jesmond Library,E08000021,Newcastle upon Tyne,,,True,,
Gavin Coward,E08000021,Newcastle upon Tyne,,,True,,
Generator North East,E08000021,Newcastle upon Tyne,,True,,54.969107,-1.6050111
Gillie Kleiman,E08000021,Newcastle upon Tyne,,,True,,
Glow Create CIC,E08000021,Newcastle upon Tyne,,,True,,
Grace Denton,E08000021,Newcastle upon Tyne,,,True,,
Grace Dickson,E08000021,Newcastle upon Tyne,,,True,,
Greshauna Hannabiell Sanders,E08000021,Newcastle upon Tyne,,,True,,
Greyscale Theatre Company,E08000021,Newcastle upon Tyne,,,True,,
Guild of Lillians,E08000021,Newcastle upon Tyne,,,True,,
HELEN SHADDOCK,E08000021,Newcastle upon Tyne,,,True,,
Hal Branson,E08000021,Newcastle upon Tyne,,,True,,
Hand Of Ltd,E08000021,Newcastle upon Tyne,,,True,,
Hannah Guy,E08000021,Newcastle upon Tyne,,,True,,
Hannah Murphy,E08000021,Newcastle upon Tyne,,,True,,
Harambee Pasadia CIC,E08000021,Newcastle upon Tyne,,,True,,
Harriet Ghost,E08000021,Newcastle upon Tyne,,,True,,
Henna Asikainen,E08000021,Newcastle upon Tyne,,,True,,
Inpress Ltd,E08000021,Newcastle upon Tyne,True,,,54.969824,-1.6101433
International Guitar Foundation & Festivals,E08000021,Newcastle upon Tyne,,,True,,
Isobel Hughes,E08000021,Newcastle upon Tyne,,,True,,
Izaak Gledhill,E08000021,Newcastle upon Tyne,,,True,,
Jack Lloyd,E08000021,Newcastle upon Tyne,,,True,,
Jade Sweeting,E08000021,Newcastle upon Tyne,,,True,,
James Cook,E08000021,Newcastle upon Tyne,,,True,,
Jamie Tansley,E08000021,Newcastle upon Tyne,,,True,,
Janina Sabaliauskaite,E08000021,Newcastle upon Tyne,,,True,,
Jazz North East Ltd,E08000021,Newcastle upon Tyne,,,True,,
Jenny Mc Namara,E08000021,Newcastle upon Tyne,,,True,,
Jessica Bennett,E08000021,Newcastle upon Tyne,,,True,,
John Edgar,E08000021,Newcastle upon Tyne,,,True,,
John Kippin,E08000021,Newcastle upon Tyne,,,True,,
Juliet Fleming,E08000021,Newcastle upon Tyne,,,True,,
Karlene Thomas,E08000021,Newcastle upon Tyne,,,True,,
Kate Halsall,E08000021,Newcastle upon Tyne,,,True,,
Kathleen Jackson,E08000021,Newcastle upon Tyne,,,True,,
Kathryn Williams,E08000021,Newcastle upon Tyne,,,True,,
Katie Tranter,E08000021,Newcastle upon Tyne,,,True,,
Kerrin Tatman,E08000021,Newcastle upon Tyne,,,True,,
Laura Harrington,E08000021,Newcastle upon Tyne,,,True,,
Laura Johnston,E08000021,Newcastle upon Tyne,,,True,,
Laura Turner,E08000021,Newcastle upon Tyne,,,True,,
Lauren Stafford,E08000021,Newcastle upon Tyne,,,True,,
Lee Renforth,E08000021,Newcastle upon Tyne,,,True,,
Let's Circus,E08000021,Newcastle upon Tyne,,,True,,
Lewis Jobson,E08000021,Newcastle upon Tyne,,,True,,
Liberdade community development trust,E08000021,Newcastle upon Tyne,,,True,,
Lindsay Duncanson,E08000021,Newcastle upon Tyne,,,True,,
Little Inventors Worldwide Ltd,E08000021,Newcastle upon Tyne,,,True,,
Lizzy Mansfield,E08000021,Newcastle upon Tyne,,,True,,
Luca Rutherford,E08000021,Newcastle upon Tyne,,,True,,
Manpreet Kambo,E08000021,Newcastle upon Tyne,,,True,,
Martha Wheatley,E08000021,Newcastle upon Tyne,,,True,,
Mathieu Geffré,E08000021,Newcastle upon Tyne,,,True,,
Matthew Pickering,E08000021,Newcastle upon Tyne,,,True,,
Matthew Tuckey,E08000021,Newcastle upon Tyne,,,True,,
Megan Brown,E08000021,Newcastle upon Tyne,,,True,,
