Postcode sector,Popup,Paper,Online,Total
B27,0,1,0,1
CA3,1,0,0,1
DH2,0,1,0,1
DH4,1,2,0,3
DH6,1,1,0,2
DH7,1,0,0,1
DH8,1,0,0,1
DH9,1,0,0,1
DL1,0,1,0,1
DL7,0,1,0,1
FY8,1,0,0,1
NC21,1,0,0,1
NE10,0,1,0,1
NE12,0,2,0,2
NE13,0,2,0,2
NE15,1,2,1,4
NE2,0,3,0,3
NE20,1,0,0,1
NE23,1,0,0,1
NE25,1,1,0,2
NE27,0,2,0,2
NE28,0,0,1,1
NE29,1,0,0,1
NE3,0,3,2,5
NE30,0,1,0,1
NE31,0,1,0,1
NE40,2,0,0,2
NE6,1,4,0,5
NE61,0,0,1,1
NE7,0,1,1,2
NE8,0,2,0,2
NE9,1,2,0,3
NG2,0,1,0,1
NW7,1,0,0,1
RH1,1,0,0,1
SR3,1,1,1,3
SR4,0,0,1,1
SR6,1,0,0,1
SR8,0,1,0,1
TS16,0,1,0,1
Unknown,32,7,0,39
