Funding Org:Name,Grant Programme:Title,Grants,Funding,Earliest Award Date,Latest Award Date,Average Grant
"Department for Business, Energy and Industrial Strategy",UKRI - AHRC - Scheme 22/23,34,3429685,2022-04-01,2022-04-01,100873
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £3,000 to £10,000",17,162704,2020-01-29,2024-03-25,9571
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £10,000 to £250,000",15,1974696,2020-02-26,2023-11-02,131646
"Department for Business, Energy and Industrial Strategy",UKRI - AHRC - Scheme 21/22,14,1251434,2021-07-03,2022-03-01,89388
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - National Portfolio Organisations,14,6510420,2020-04-01,2020-04-01,465030
"Department for Digital, Culture, Media & Sport",National Portfolio Organisations,14,6556252,2021-12-08,2021-12-13,468304
"Department for Business, Energy and Industrial Strategy",ALB - UKRI - AHRC grant awards in 20-21,13,3329054,2020-05-01,2021-02-14,256081
"Department for Digital, Culture, Media & Sport",Big Night In,8,79473,2020-05-20,2020-10-02,9934
Wolfson Foundation,Arts and Humanities,8,395000,2020-06-11,2024-12-05,49375
"Department for Digital, Culture, Media & Sport",Community Match Challenge Fund,6,168187,2020-10-23,2020-12-14,28031
"Department for Digital, Culture, Media & Sport",Youth Accelerator Fund 1920,6,39424,2020-02-28,2020-02-28,6571
"Department for Digital, Culture, Media & Sport",Life Chances Fund,4,24964154,2020-04-01,2022-04-01,6241038
The National Lottery Heritage Fund,"National Lottery Heritage Grants £10,000 to £250,000",4,670680,2024-05-02,2024-12-11,167670
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Heritage Protection Commissions-fy 20/21,3,13978,2020-04-01,2020-04-01,4659
"Department for Digital, Culture, Media & Sport",Investment Funds,3,230000,2021-03-04,2023-03-16,76667
Paul Hamlyn Foundation,Arts Access and Participation - Access and Participation Fund,3,580000,2020-11-24,2022-05-16,193333
Paul Hamlyn Foundation,Arts Access and Participation - Inflation COL Support - APA,3,36350,2023-01-18,2023-01-18,12117
"Department for Digital, Culture, Media & Sport",ACE Emergency Funding,2,105100,2020-04-01,2020-04-01,52550
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - Investment Funds,2,315000,2020-04-01,2020-04-01,157500
"Department for Digital, Culture, Media & Sport",ALB-Historic England-Heritage Stimulus Fund Emergency Heritage at Risk Response Fund,2,19280,2021-02-05,2021-02-05,9640
"Department for Digital, Culture, Media & Sport",Capital Investment Programme,2,949999,2022-03-04,2022-03-04,475000
"Department for Digital, Culture, Media & Sport",Children and Young People,2,63466,2022-03-23,2022-07-26,31733
"Department for Digital, Culture, Media & Sport",Future Radio Access Networks Competition (FRANC),2,967155,2022-03-14,2022-03-14,483577
"Department for Digital, Culture, Media & Sport",Heritage Capital Kickstart Fund,2,5867909,2020-12-15,2020-12-15,2933954
"Department for Digital, Culture, Media & Sport",PFI Grants to Local Authorities Paid via DLUHC,2,6416296,2021-04-01,2021-04-01,3208148
John Ellerman Foundation,Arts,2,180000,2021-11-25,2022-07-28,90000
Paul Hamlyn Foundation,Education and Learning through the Arts - Arts-based Learning Fund,2,408000,2022-07-18,2024-03-14,204000
Paul Hamlyn Foundation,Investing in Young People - Act for Change Fund,2,6500,2020-03-16,2021-01-18,3250
Point North,Community Arts and Culture Grants Programme,2,3500,2021-12-14,2022-11-14,1750
"Department for Digital, Culture, Media & Sport",2020/21 Young Audiences Content Fund (YACF),1,31500,2020-11-04,2020-11-04,31500
"Department for Digital, Culture, Media & Sport",2021/22 UK Global Screen Fund (UKGSF),1,80000,2021-12-01,2021-12-01,80000
"Department for Digital, Culture, Media & Sport",21/22 General,1,17000,2021-10-20,2021-10-20,17000
"Department for Digital, Culture, Media & Sport",ALB - Arts Council England - Bridge Expansion,1,30933,2020-04-01,2020-04-01,30933
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Repair Grants for Heritage at Risk - f/y 20/21,1,7575,2020-04-01,2020-04-01,7575
"Department for Digital, Culture, Media & Sport",ALB - Historic England - Repair Grants for Heritage at Risk - f/y 21/22,1,10456,2021-04-01,2021-04-01,10456
"Department for Digital, Culture, Media & Sport",ALB - National Heritage Memorial Fund - Heritage Capital Kickstart Fund 2020-21,1,114000,2020-12-15,2020-12-15,114000
"Department for Digital, Culture, Media & Sport",Capital/Infrastructure,1,2000000,2023-02-07,2023-02-07,2000000
"Department for Digital, Culture, Media & Sport",Cultural Compacts,1,14800,2023-02-08,2023-02-08,14800
"Department for Digital, Culture, Media & Sport",Dynamo Cyber Skills Pilot Cluster Project 2021,1,5000,2020-04-01,2020-04-01,5000
"Department for Digital, Culture, Media & Sport",Transition Fund,1,62622,2023-03-24,2023-03-24,62622
The National Lottery Heritage Fund,Dynamic Collections,1,110600,2022-08-16,2022-08-16,110600
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £250,000 to £5million",1,158600,2023-06-15,2023-06-15,158600
The National Lottery Heritage Fund,"National Lottery Heritage Grants £250,000 to £10 million",1,437732,2024-09-11,2024-09-11,437732
