lsoa11cd,lsoa11nm,IMD Rank,IMD Decile,IMD Score,IMD Rank 0,IMD Decile 0,Income Score,Income Rank,Income Decile,Employment Score,Employment Rank,Employment Decile,Education Score,Education Rank,Education Decile,Health Deprivation and Disability Score,Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Score,Crime Rank,Crime Decile,Barriers to Housing and Services Score,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Score,Living Environment Rank,Living Environment Decile,Income Deprivation Affecting Children Index Score,Income Deprivation Affecting Children Index Rank,Income Deprivation Affecting Children Index Decile,Income Deprivation Affecting Older People Score,Income Deprivation Affecting Older People Rank,Income Deprivation Affecting Older People Decile,Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank,Children and Young People Sub-domain Decile,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank,Adult Skills Sub-domain Decile,Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank,Geographical Barriers Sub-domain Decile,Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank,Wider Barriers Sub-domain Decile,Indoors Sub-domain Score,Indoors Sub-domain Rank,Indoors Sub-domain Decile,Outdoors Sub-domain Score,Outdoors Sub-domain Rank,Outdoors Sub-domain Decile,Total Population,Dependent Children aged 0-15,Population aged 16-59,Older population aged 60 and over,Working age population 18-59/64
E01008288,"Newcastle upon Tyne 027A",9092,3,27.91,9092,3,0.213,5960,2,0.13,8558,3,27.081,9786,3,0.556,8436,3,0.788,5551,2,13.999,24236,8,8.391,25766,8,0.277,5497,2,0.273,5823,2,0.303,11402,4,0.377,8452,3,-0.016,15966,5,-0.801,19562,6,-0.593,25082,8,-0.193,18518,6,1327,232,787,308,797.25
E01008289,"Newcastle upon Tyne 027B",1985,1,51.314,1985,1,0.34,1208,1,0.248,1331,1,55.762,2289,1,1.202,2853,1,0.832,5093,2,19.123,17717,6,7.213,27037,9,0.369,2115,1,0.402,1833,1,0.689,6606,3,0.549,804,1,-0.174,18828,6,1.018,10471,4,-0.88,28044,9,-0.118,17307,6,1641,385,862,394,849.75
E01008290,"Newcastle upon Tyne 027C",1567,1,54.146,1567,1,0.344,1123,1,0.249,1316,1,62.598,1436,1,1.313,2270,1,0.825,5169,2,13.227,25143,8,22.902,13200,5,0.345,2771,1,0.33,3594,2,1.188,2460,1,0.529,1228,1,-1.11,30556,10,0.916,10883,4,0.452,9846,3,-0.11,17165,6,1347,293,831,223,843.25
E01008291,"Newcastle upon Tyne 027D",137,1,73.512,137,1,0.476,79,1,0.32,289,1,83.092,188,1,1.998,351,1,1.45,1204,1,17.552,19720,7,7.943,26240,8,0.453,664,1,0.56,324,1,1.61,713,1,0.591,276,1,-1.502,32120,10,1.988,6964,3,-1.314,30850,10,0.146,12933,4,2220,693,1237,290,1243.25
E01008292,"Newcastle upon Tyne 027E",26799,9,8.218,26799,9,0.061,23543,8,0.053,23732,8,11.934,20001,7,-0.135,18149,6,-0.381,22196,7,5.925,31579,10,9.74,24320,8,0.056,26289,9,0.111,18520,6,-0.417,22719,7,0.295,16514,6,-0.466,23530,8,-2.327,27175,9,-0.244,20311,7,-0.509,23613,8,1422,234,789,399,803.25
E01008293,"Newcastle upon Tyne 004A",15011,5,19.297,15011,5,0.096,16984,6,0.084,15371,5,10.434,21420,7,0.612,7795,3,0.539,8552,3,27.951,8484,3,11.798,22172,7,0.054,26716,9,0.148,14304,5,-0.646,25859,8,0.295,16569,6,0.783,5051,2,-0.399,17347,6,-0.663,25910,8,0.284,10968,4,1420,264,820,336,851.25
E01008294,"Newcastle upon Tyne 001A",26280,9,8.615,26280,9,0.066,22386,7,0.054,23326,8,7.589,24384,8,-0.05,16777,6,-0.568,24691,8,19.002,17858,6,2.455,31657,10,0.086,21448,7,0.078,23761,8,-0.982,29256,9,0.275,18850,6,0.376,9626,3,-0.989,20667,7,-1.427,31294,10,-0.698,26148,8,1461,279,827,355,876
E01008295,"Newcastle upon Tyne 008A",1238,1,56.837,1238,1,0.37,721,1,0.277,749,1,60.936,1638,1,1.311,2287,1,0.895,4441,2,19.093,17750,6,6.184,28134,9,0.448,723,1,0.292,5026,2,1.18,2510,1,0.521,1453,1,0.038,15008,5,0.404,13204,5,-1.316,30857,10,-0.065,16371,5,1594,475,859,260,840
E01008296,"Newcastle upon Tyne 011A",5591,2,35.849,5591,2,0.191,7259,3,0.191,3647,2,36.645,6274,2,1.067,3752,2,0.446,9822,3,28.837,7779,3,7.96,26218,8,0.249,6972,3,0.203,9759,3,0.405,10023,4,0.452,3947,2,0.749,5352,2,0.005,15172,5,-1.71,32085,10,0.216,11909,4,1391,190,741,460,768
E01008297,"Newcastle upon Tyne 011B",858,1,60.696,858,1,0.368,742,1,0.269,894,1,62.05,1515,1,1.801,655,1,1.304,1736,1,14.824,23269,8,10.172,23877,8,0.435,883,1,0.401,1841,1,1.312,1775,1,0.507,1849,1,-0.579,25215,8,0.782,11467,4,-0.396,22514,7,-0.17,18140,6,1584,374,853,357,864.25
E01008298,"Newcastle upon Tyne 011C",6036,2,34.588,6036,2,0.212,6011,2,0.155,6127,2,41.422,5009,2,1.211,2801,1,0.653,7041,3,19.944,16720,6,4.524,29803,10,0.286,5036,2,0.281,5467,2,0.879,4729,2,0.422,5424,2,0.252,11482,4,-0.15,15980,5,-1.182,30197,10,-0.359,21342,7,1400,322,754,324,763
E01008299,"Newcastle upon Tyne 011D",2458,1,48.178,2458,1,0.295,2380,1,0.208,2781,1,62.222,1487,1,1.029,4023,2,1.559,901,1,15.018,22992,8,8.695,25419,8,0.354,2519,1,0.294,4949,2,1.112,2961,1,0.537,1030,1,-0.526,24460,8,0.75,11623,4,-1.018,29178,9,0.135,13090,4,1387,359,763,265,739
E01008300,"Newcastle upon Tyne 016A",2869,1,45.905,2869,1,0.282,2794,1,0.203,3005,1,42.731,4693,2,1.387,1933,1,1.493,1086,1,13.396,24937,8,12.178,21813,7,0.317,3733,2,0.335,3441,2,0.768,5783,2,0.452,3908,2,-0.509,24200,8,0.324,13594,5,-0.414,22734,7,0.103,13594,5,1617,414,906,297,912
E01008301,"Newcastle upon Tyne 026A",3162,1,44.508,3162,1,0.253,3902,2,0.183,4125,2,46.293,3900,2,1.637,1023,1,1.037,3239,1,25.395,10749,4,8.924,25179,8,0.305,4181,2,0.321,3923,2,1.483,1087,1,0.331,12607,4,0.408,9175,3,0.624,12239,4,-0.371,22156,7,-0.406,22121,7,1654,243,1178,233,1200
E01008302,"Newcastle upon Tyne 026B",235,1,71.028,235,1,0.41,325,1,0.314,332,1,70.28,764,1,2.246,165,1,1.658,659,1,18.741,18180,6,8.171,25979,8,0.535,167,1,0.394,2007,1,1.593,760,1,0.514,1635,1,-0.406,22618,7,1.389,8986,3,-0.497,23881,8,-0.341,21044,7,1552,326,872,354,899
E01008303,"Newcastle upon Tyne 018A",218,1,71.356,218,1,0.395,452,1,0.339,185,1,62.346,1467,1,2.463,78,1,2.063,163,1,16.671,20840,7,7.662,26546,9,0.448,710,1,0.427,1408,1,1.535,929,1,0.47,3174,1,-0.813,28119,9,1.474,8671,3,-0.735,26682,9,-0.162,18020,6,1843,249,1123,471,1132
E01008304,"Newcastle upon Tyne 026C",76,1,75.897,76,1,0.453,130,1,0.374,68,1,65.891,1105,1,2.378,107,1,1.815,396,1,22.292,13982,5,12.996,21050,7,0.536,164,1,0.474,842,1,1.662,587,1,0.471,3109,1,-0.426,22931,7,2.18,6392,2,-0.413,22705,7,0.195,12207,4,2001,348,1345,308,1374.5
E01008305,"Newcastle upon Tyne 026D",403,1,66.965,403,1,0.398,418,1,0.299,465,1,70.746,732,1,1.402,1873,1,1.789,421,1,25.58,10580,4,6.291,28012,9,0.538,157,1,0.284,5337,2,1.544,907,1,0.525,1335,1,-0.086,17167,6,2.188,6375,2,-0.673,26027,8,-0.448,22738,7,2486,629,1346,511,1328.5
E01008306,"Newcastle upon Tyne 001B",11569,4,23.711,11569,4,0.145,10919,4,0.153,6249,2,23.675,11515,4,0.785,6048,2,-0.241,20203,7,12.219,26323,9,2.562,31589,10,0.214,9156,3,0.125,16802,6,0.134,13928,5,0.365,9412,3,-0.094,17302,6,-1.076,21149,7,-1.152,30015,10,-0.854,28027,9,1641,259,805,577,834.5
E01008307,"Newcastle upon Tyne 001C",4767,2,38.397,4767,2,0.256,3765,2,0.184,4074,2,37.653,6008,2,1.321,2241,1,0.295,12000,4,22.785,13427,5,7.284,26963,9,0.255,6616,3,0.352,2987,1,0.957,4082,2,0.372,8859,3,0.298,10777,4,0.407,13194,5,-0.368,22114,7,-0.817,27604,9,1035,181,557,297,546.25
E01008308,"Newcastle upon Tyne 001D",16434,6,17.639,16434,6,0.093,17481,6,0.076,17176,6,16.265,16355,5,0.357,10894,4,-0.189,19483,6,33.562,4779,2,9.399,24678,8,0.081,22205,7,0.199,10066,4,-0.333,21486,7,0.339,11851,4,1.197,2480,1,-0.899,20128,7,-0.178,19278,6,-0.802,27408,9,2426,620,1497,309,1577
E01008309,"Newcastle upon Tyne 002A",32714,10,1.852,32714,10,0.016,32511,10,0.032,30119,10,0.304,32681,10,-0.6,24714,8,-1.127,30033,10,2.464,32688,10,5.461,28853,9,0.017,32170,10,0.024,32430,10,-2.151,32788,10,0.106,32033,10,-0.778,27739,9,-3.877,31296,10,-0.925,28416,9,-0.356,21290,7,1765,340,813,612,826.25
E01008311,"Newcastle upon Tyne 001E",30331,10,5.194,30331,10,0.033,30174,10,0.041,27491,9,3.45,29195,9,-0.223,19470,6,-0.421,22710,7,16.991,20444,7,3.228,31008,10,0.037,29516,9,0.062,26713,9,-1.064,29851,10,0.205,26659,9,0.395,9339,3,-1.91,25436,8,-1.139,29942,10,-0.669,25784,8,2137,490,1281,366,1292.75
